gvkey,year,exec_fullname,gender,age,joined_co,leftco,ceoann,becameceo,leftofc,salary,total_curr
24905,2017,"Robert Komin, Jr.",MALE,54.0,,,,,,350.0,350.0
24905,2017,Christopher Mackie Dawson,MALE,48.0,,,,,,10.769,10.769
24905,2017,Paul Thaddeus Winnowski,MALE,45.0,,,,,,350.0,350.0
24905,2017,Lynn Michelle Jurich,FEMALE,37.0,,,CEO,2012/10/01,2014/03/01,500.0,500.0
24905,2017,Edward Harris Fenster,MALE,40.0,,,,2008/06/01,2014/03/01,450.0,450.0
24905,2017,Jeanna Steele,FEMALE,42.0,,,,,,209.49400000000003,209.49400000000003
64306,2015,"John B. Kilroy, Jr.",MALE,66.0,1996/09/01,,CEO,1996/09/01,,1225.0,1225.0
64306,2015,Jeffrey C. Hawken,MALE,56.0,,,,,,675.0,675.0
64306,2015,Tyler H. Rose,MALE,54.0,,,,,,500.0,500.0
64306,2015,Justin William Smart,MALE,55.0,,,,,,500.0,500.0
64306,2015,David Joshua Simon,MALE,52.0,,,,,,500.0,500.0
64306,2016,"John B. Kilroy, Jr.",MALE,67.0,1996/09/01,,CEO,1996/09/01,,1225.0,1225.0
64306,2016,Jeffrey C. Hawken,MALE,57.0,,,,,,675.0,675.0
64306,2016,Tyler H. Rose,MALE,55.0,,,,,,500.0,500.0
64306,2016,Justin William Smart,MALE,56.0,,,,,,500.0,500.0
64306,2016,David Joshua Simon,MALE,53.0,,,,,,500.0,500.0
64306,2017,"John B. Kilroy, Jr.",MALE,68.0,1996/09/01,,CEO,1996/09/01,,1225.0,1225.0
64306,2017,Jeffrey C. Hawken,MALE,58.0,,,,,,675.0,675.0
64306,2017,Tyler H. Rose,MALE,56.0,,,,,,500.0,500.0
64306,2017,Justin William Smart,MALE,57.0,,,,,,500.0,500.0
64306,2017,Stephen Rosetta,MALE,44.0,,,,,,323.077,323.077
12544,2015,Jorge Luis Gonzalez,MALE,50.0,,,CEO,2015/11/18,,250.0,1250.0
12544,2015,Kenneth M. Borick,MALE,54.0,,,,,,293.231,493.231
12544,2015,Marek Bakun,MALE,43.0,,,,,,350.0,600.0
12544,2015,Patrick W. Murphy,MALE,44.0,,,,,,190.0,250.0
12544,2015,David S. Harrelson,MALE,59.0,,,,,,190.0,240.0
12544,2015,Jeffrey Craig Keil,MALE,71.0,,,,2014/08/14,2015/01/01,230.769,230.769
12544,2015,Patrick D. Bienvenue,MALE,60.0,,,,,,480.77,480.77
12544,2016,Jorge Luis Gonzalez,MALE,51.0,,,CEO,2015/11/18,,346.154,796.154
12544,2016,Kenneth M. Borick,MALE,55.0,,,,,,300.0,500.0
12544,2016,Marek Bakun,MALE,44.0,,,,,,350.0,600.0
12544,2016,Patrick W. Murphy,MALE,45.0,,,,,,190.0,250.0
12544,2016,David S. Harrelson,MALE,60.0,,,,,,190.0,215.0
12544,2017,Jorge Luis Gonzalez,MALE,52.0,,,CEO,2015/11/18,,390.385,840.385
12544,2017,Kenneth M. Borick,MALE,56.0,,,,,,300.0,500.0
12544,2017,Marek Bakun,MALE,45.0,,,,,,350.0,600.0
12544,2017,Patrick W. Murphy,MALE,46.0,,,,,,190.0,260.0
12544,2017,Susan D. Mermer,FEMALE,56.0,,,,,,195.0,225.0
143689,2015,"Mark E. Zalatoris, CPA",MALE,57.0,2000/07/01,,CEO,2008/04/21,,600.0,600.0
143689,2015,D. Scott Carr,MALE,49.0,2000/07/01,,,,,430.0,430.0
143689,2015,William W. Anderson,MALE,56.0,2000/07/01,,,,,320.0,320.0
143689,2015,Brett A. Brown,MALE,50.0,2004/05/01,,,,,440.0,440.0
143689,2015,Beth Sprecher Brooks,FEMALE,60.0,2002/11/01,,,,,330.0,330.0
63172,2015,Philip A. Hadley,MALE,53.0,1985/01/01,,CEO,2000/09/05,2015/07/01,338.0,1538.0
63172,2015,Michael D. Frankenfield,MALE,50.0,1989/01/01,,,,,206.0,912.6669999999999
63172,2015,Peter G. Walsh,MALE,50.0,1996/01/01,,,,,275.0,1025.0
63172,2015,Maurizio Nicolelli,MALE,47.0,,,,,,230.0,555.0
63172,2015,Frederick Philip Snow,MALE,51.0,,,,2015/07/01,,295.0,945.0
63172,2015,Scott G. Miller,MALE,,,,,,,169.0,1419.0
63172,2015,Mark J. Hale,MALE,42.0,,,,,,262.0,762.0
63172,2016,Philip A. Hadley,MALE,54.0,1985/01/01,,,2000/09/05,2015/07/01,300.0,750.0
63172,2016,Maurizio Nicolelli,MALE,48.0,,,,,,275.0,725.0
63172,2016,Frederick Philip Snow,MALE,52.0,,,CEO,2015/07/01,,350.0,1150.0
63172,2016,Scott G. Miller,MALE,,,,,,,275.0,875.0
63172,2016,Mark J. Hale,MALE,43.0,,,,,,300.0,750.0
63172,2016,Edward Baker-Greene,MALE,53.0,,,,,,275.0,625.0
63172,2017,Philip A. Hadley,MALE,55.0,1985/01/01,,,2000/09/05,2015/07/01,300.0,400.0
63172,2017,Maurizio Nicolelli,MALE,49.0,,,,,,300.0,800.0
63172,2017,Frederick Philip Snow,MALE,53.0,,,CEO,2015/07/01,,400.0,1250.0
63172,2017,Scott G. Miller,MALE,,,,,,,194.0,194.0
63172,2017,Mark J. Hale,MALE,44.0,,,,,,300.0,725.0
63172,2017,Edward Baker-Greene,MALE,54.0,,,,,,300.0,625.0
63172,2017,John W. Wiseman,MALE,48.0,,,,,,256.0,731.0
124254,2015,Kevin M. McMullen,MALE,55.0,,,CEO,2000/12/01,2016/12/01,769.0,769.0
124254,2015,James C. LeMay,MALE,58.0,,,,,,355.0,355.0
124254,2015,Jay T. Austin,MALE,58.0,,,,,,283.7,283.7
124254,2015,Paul F. DeSantis,MALE,50.0,,,,,,420.2,435.2
124254,2015,David H. Maynard,MALE,51.0,,,,,,238.5,270.3
124254,2015,Anne P. Noonan,FEMALE,52.0,,,,2016/12/01,2020/04/01,400.0,625.0
124254,2016,Kevin M. McMullen,MALE,56.0,,,CEO,2000/12/01,2016/12/01,789.919,789.919
124254,2016,James C. LeMay,MALE,59.0,,,,,,364.463,364.463
124254,2016,Jay T. Austin,MALE,59.0,,,,,,292.267,292.267
124254,2016,Michael A. Quinn,MALE,52.0,,,,,,284.172,284.172
124254,2016,Paul F. DeSantis,MALE,51.0,,,,,,433.15,448.15
124254,2016,Anne P. Noonan,FEMALE,53.0,,,,2016/12/01,2020/04/01,410.958,410.958
124254,2017,James C. LeMay,MALE,60.0,,,,,,375.37300000000016,375.37300000000016
124254,2017,Jay T. Austin,MALE,60.0,,,,,,313.353,313.353
124254,2017,Michael A. Quinn,MALE,53.0,,,,,,292.875,292.875
124254,2017,Paul F. DeSantis,MALE,52.0,,,,,,448.81800000000004,448.81800000000004
124254,2017,Anne P. Noonan,FEMALE,54.0,,,CEO,2016/12/01,2020/04/01,637.3580000000002,637.3580000000002
124254,2017,Marshall D. Moore,MALE,53.0,,,,,,273.027,376.61400000000003
136648,2015,Jeffrey M. Stafeil,MALE,45.0,,,,,,689.585,689.585
136648,2015,Timothy D. Leuliette,MALE,65.0,,,,2012/09/30,2015/06/29,520.462,520.462
136648,2015,Michael J. Widgren,MALE,46.0,,,,,,191.955,191.955
136648,2015,Martin T. Thall,MALE,54.0,,,,,,304.183,304.183
136648,2015,Peter Michael Ziparo,MALE,45.0,,,,,,376.25,376.25
136648,2015,William M. Robertson,MALE,53.0,,,,,,316.539,316.539
136648,2015,Sachin S. Lawande,MALE,48.0,,,CEO,2015/06/29,,507.57599999999996,3757.5759999999996
136648,2015,David G. Pettyes,MALE,44.0,,,,,,78.22,453.22
136648,2016,Jeffrey M. Stafeil,MALE,46.0,,,,,,172.396,172.396
136648,2016,Peter Michael Ziparo,MALE,46.0,,,,,,96.25,96.25
136648,2016,William M. Robertson,MALE,54.0,,,,,,339.8130000000001,439.81300000000016
136648,2016,Sachin S. Lawande,MALE,49.0,,,CEO,2015/06/29,,1022.5,1022.5
136648,2016,Robert R. Vallance,MALE,55.0,,,,,,381.825,381.825
136648,2016,Brett D. Pynnonen,MALE,47.0,,,,,,352.319,452.319
136648,2016,Christian A. Garcia,MALE,52.0,,,,,,147.5,647.5
136648,2016,Steven S. Fitzgerald,MALE,52.0,,,,,,211.648,311.64799999999997
136648,2017,Sachin S. Lawande,MALE,50.0,,,CEO,2015/06/29,,1030.0,1030.0
136648,2017,Robert R. Vallance,MALE,56.0,,,,,,385.60400000000004,385.60400000000004
136648,2017,Brett D. Pynnonen,MALE,48.0,,,,,,440.0,540.0
136648,2017,Christian A. Garcia,MALE,53.0,,,,,,590.0,590.0
136648,2017,Sunil K. Bilolikar,MALE,55.0,,,,,,385.733,385.733
136648,2017,Matthew M. Cole,MALE,47.0,,,,,,343.9,343.9
61487,2015,Cynthia D. Purcell,FEMALE,58.0,,,,,,294.311,367.889
61487,2015,Mark J. Grescovich,MALE,51.0,,,CEO,2010/08/18,,716.415,716.415
61487,2015,Lloyd W. Baker,MALE,67.0,,,,,,260.724,325.905
61487,2015,Richard B. Barton,MALE,72.0,,,,,,264.895,331.119
61487,2015,James R. Claffee,MALE,70.0,,,,,,133.766,325.889
61487,2016,Cynthia D. Purcell,FEMALE,59.0,,,,,,303.971,363.971
61487,2016,Mark J. Grescovich,MALE,52.0,,,CEO,2010/08/18,,744.825,744.825
61487,2016,Lloyd W. Baker,MALE,68.0,,,,,,269.282,319.282
61487,2016,Richard B. Barton,MALE,73.0,,,,,,273.59,323.59
61487,2016,Keith A. Western,MALE,60.0,,,,,,315.43,355.43
61487,2017,Cynthia D. Purcell,FEMALE,60.0,,,,,,312.496,312.496
61487,2017,Mark J. Grescovich,MALE,53.0,,,CEO,2010/08/18,,766.875,766.875
61487,2017,Lloyd W. Baker,MALE,69.0,,,,,,276.697,276.697
61487,2017,Richard B. Barton,MALE,74.0,,,,,,281.124,281.124
61487,2017,Keith A. Western,MALE,61.0,,,,,,320.495,320.495
61487,2017,Judith A. Steiner,FEMALE,55.0,,,,,,306.75,456.75
61487,2017,Peter J. Conner,MALE,51.0,,,,,,297.612,297.612
6304,2015,Richard P. Wallace,MALE,55.0,1988/01/01,,CEO,2006/01/01,,900.0,900.0
6304,2015,Bobby R. Bell,MALE,53.0,,,,,,488.462,488.462
6304,2015,Bren D. Higgins,MALE,45.0,,,,,,390.385,390.385
6304,2015,Michael D. Kirk,MALE,52.0,,,,,,488.462,488.462
6304,2015,Ahmad A. Khan,MALE,41.0,,,,,,395.19199999999995,395.19199999999995
6304,2016,Richard P. Wallace,MALE,56.0,1988/01/01,,CEO,2006/01/01,,934.615,934.615
6304,2016,Bobby R. Bell,MALE,54.0,,,,,,519.231,519.231
6304,2016,Bren D. Higgins,MALE,46.0,,,,,,457.69300000000004,457.69300000000004
6304,2016,Michael D. Kirk,MALE,53.0,,,,,,519.231,519.231
6304,2016,Ahmad A. Khan,MALE,42.0,,,,,,478.846,478.846
6304,2017,Richard P. Wallace,MALE,57.0,1988/01/01,,CEO,2006/01/01,,900.0,900.0
6304,2017,Bobby R. Bell,MALE,55.0,,,,,,500.0,500.0
6304,2017,Bren D. Higgins,MALE,47.0,,,,,,482.30800000000005,482.30800000000005
6304,2017,Ahmad A. Khan,MALE,43.0,,,,,,475.0,475.0
6304,2017,Brian M. Trafas,MALE,54.0,,,,,,400.0,400.0
30822,2015,Paul M. Meurer,MALE,49.0,2001/01/01,,,,,425.0,425.0
30822,2015,Michael R. Pfeiffer,MALE,54.0,1990/01/01,,,,,400.0,400.0
30822,2015,Richard G. Collins,MALE,66.0,1990/01/01,,,,,340.0,340.0
30822,2015,John P. Case,MALE,51.0,,,CEO,2013/09/03,2018/10/16,825.0,825.0
30822,2015,Sumit Roy,MALE,45.0,,,,2018/10/16,,475.0,475.0
30822,2016,Paul M. Meurer,MALE,50.0,2001/01/01,,,,,450.0,450.0
30822,2016,Michael R. Pfeiffer,MALE,55.0,1990/01/01,,,,,420.0,420.0
30822,2016,John P. Case,MALE,52.0,,,CEO,2013/09/03,2018/10/16,875.0,875.0
30822,2016,Sumit Roy,MALE,46.0,,,,2018/10/16,,525.0,525.0
30822,2016,Neil M. Abraham,MALE,44.0,,,,,,335.0,335.0
30822,2017,Paul M. Meurer,MALE,51.0,2001/01/01,,,,,475.0,475.0
30822,2017,Michael R. Pfeiffer,MALE,56.0,1990/01/01,,,,,450.0,450.0
30822,2017,John P. Case,MALE,53.0,,,CEO,2013/09/03,2018/10/16,925.0,925.0
30822,2017,Sumit Roy,MALE,47.0,,,,2018/10/16,,550.0,550.0
30822,2017,Neil M. Abraham,MALE,45.0,,,,,,375.0,375.0
164609,2015,G. Bradley Cole,MALE,59.0,,,,,,520.0,520.0
164609,2015,Frederic G. Pla,MALE,56.0,,,,,,500.0,500.0
164609,2015,James J. Vaughn,MALE,52.0,,,,,,400.0,400.0
164609,2015,Kimberly J. Popovits,FEMALE,56.0,,,CEO,2009/01/01,2019/11/08,686.4,686.4
164609,2015,Steven Shak,MALE,64.0,,,,,,489.3,489.3
